sentiment,text,label
positive,"Finger print sensor is good however sometimes it just takes a while in case you have an application running as soon as unlock the screen (specially a high memory used game).
Rest everything is nice.",2
positive,It is very very useful.Low price.Totally it's valuable,2
negative,Nice battery backup and camera but price high plz price cost ..,0
negative,"Look's like good. but camera, WiFi, 4G, are not good, it's very poor. System is lagging. Battery is good but not great. First charging very bad in my redmi note 8, I don't know other note 8 however parform. But my handset have math more problem. I requested to Amazon replacement, but Amazon executive is decline my request.",0
positive,Best price,2
neutral,@CapehartJ not if mentioned in debate. #GOPDebates,1
negative,After 6 month of using heating and service center want charger of repair. PRODUCT IS UNDER Warranty. Never go for mi product,0
negative,Battery life is soooo bad battery draining very sooon?,0
neutral,Good phone in this price range,1
positive,This is so good,2
negative,Very bad product,0
positive,Mobile device working good...,2
positive,"Anything I write will not do justice to this awesome, awesome hotel. I've stayed here a good dozen or so times over the past three years and it's always fantastic. I love all the rooms. If you can get a suite, you're an extra lucky duck, but even the basic rooms are adorable with phenomenal bathrooms.

The bar and restaurant is also great, with fantastic appetizers, wonderful specialty cocktails, and fun rat pack music. Breakfast is better than most restaurants, forget about comparing it to standard hotel fare.

The location is also good, with plenty of shopping, restaurants and bars within easy walking distance.

This place is not within my normal price range at all, but it is worth every penny and I would never stay anywhere else in the Phoenix area.",2
negative,http://bit.ly/LaZEL  Wow Christian Lacroix bankrupt.. sad,0
negative,"My order price 10363.72, I have make payment via no cost EMI and it was shown 1798.50 for 6 month, but
It cost me every month 2033 rs, totally fraud",0
neutral,All features of the Mobile is OK except Camera... Not upto the expectation very disappointed....,1
negative,Now i feel really really bad...sorry,0
neutral,Going to jog down to uni. Quite a way from my family home but exercise and all that,1
positive,"Good morning Tweepsland! Makin` it a great Monday! Huge shout out to all my followers .. muah, muah! I appreciate you all",2
positive,Superb,2
positive,The camera is good... battery is not draining too fast but gets heated up quickly if u watch a number of videos or play games...,2
positive,It was a good phone for normal using.camera/battery good in this price.,2
negative,Phone is hanging some time s,0
positive,"Zen-related stuff: 'Go with the flow.' Very easy to accomplish - it started to rain, so the rain will flush me away",2
positive,It's ok.,2
positive,"The Alexa takes more power to run
Only this is the problem in this mobile",2
neutral,"Worst camera
Sometime i doubt how it got 4.5 star.its camera is pathetic like of 7000 phone price.",1
positive,10,2
neutral,Sunday sunshine track  ? http://blip.fm/~5z7cg,1
positive,More user friendly but internet browsing speed and Apps are slow. I don't know what is the useful of rear dual cameras because options showing for only one camera.,2
positive,"Amazing phone and highly user convenient.
Touch quality is really nice.
Best part is it's 6000 mAh battery and nice camera.
Best phone in this price range.",2
negative,Hanging problem,0
negative,Two dozen roses sent  overnight and delivered this morning. Just found out the recipient is out of town!! Sad,0
positive,"Camera is nice and the phone overall performs very fluid and is a beast at multitasking and gaming
Feels premium and classy.
Only downside i see is lack of a headphone jack, which could be sorted with an adapter ie usb c to 3.5 or to 3.5 and usb c.
Also, the case in the box is very premium... In case if this is imp to you.
Audio quality through speakers and headphones is great.
Lemme know anything specific you want to know :)",2
neutral,"Not fault of Amazon, this phone doesn't meet the expectations being an Android One device. However, Amazon did a great job on service part.",1
negative,Dont buy third class quality west of money,0
negative,Bad experience,0
positive,"Excellent  phone at reasonable price. I got my phone from Amazon. I cannot find a point for criticizing it.
Frankly I am not a gamer so not tested that aspect else you cannot expect anything better.
Camera too good. Screen touch, battery,  processing speed all are very good.
I still need to  test casting part.",2
positive,Excellent product but HEAD PHONE IS NOT AVAILABLE IN THE PACK.Will be more helpful if it is added in the original pack. Charging is very fast excellent.One of the best product. Audio and video quality is amazing. Photo finish awesome.,2
positive,"I'm not sure if Safeway is a national thing (let's just say I've never seen one of these babies in Manhattan), but it's definitely needed in Phoenix and Tucson.

I would drive around the city, looking at all the strip malls and low-end manicure chop shops and wonder, ""Where the hell do people go grocery shopping?"" And while Trader Joe's is GREAT, I'd be hard-pressed to do all of my shopping there.

So thank God for Safeway, right? Although Safeway is generally a little more expensive than other grocery stores, you can pretty much get anything you need there. This particular location was so clean it was beaming! Or was that just me?

It had everything you'd expect from a Safeway--from a lovely floral department to a mini-Starbucks to a sizeable deli counter.

Yay for Safeway and chain shopping!",2
negative,My TI89 died. I don`t know why.,0
positive,"Best mobile under 10k
Great bettery life
Awesome performance
Amazing picture quality at this price",2
neutral,Fingerprint sensor is not as much quick accessible...camera quality is good but getting blur at left corner of bottom which effects on picture captured...battery life is good but not as expected to its capacity of 5000MAH and phone and charger both are getting heated when on charging mode.,1
negative,"RT @SupermanHotMale: This is why I don't watch Fox News, they're all assholes #GopDebates",0
positive,"Excellent Mobile...screen display, camera, battery, processing is fabulous.",2
positive,"1. No heating issue.
2. Performance is good.
3. But having little bit problems with built in apps.
4. While smart view application is in use, we are not getting that much clarity on tv screen and video getting blur on tv...
5. Little bit Screen rotation issue.",2
positive,Sound from the out speaker is not upto the mark.. Quality sucks..,2
positive,Good battery life and has 3 cameras with good picture quality. Battery backup is good and fast charging with big screen. But while unboxing it I do not get earplugs. It should have branded earplugs with it.,2
neutral,"RT @cjcmichel: And China has as many mentions as Honduras. Priorities, man. #GOPDebates",1
neutral,Cost wise ok. But camera quality was totally waste. Battery also withstand one day only.,1
positive,A very good phone,2
neutral,It has been a month using this phone.. it hangs too much..  Camera is Good.. it also have a good battery life.. If battery is full..it works for whole 24 hours,1
negative,"I don't like this mobile because not available  function example,not use dual app,not mobile update,more",0
negative,"I am not satisfied with aome plus 7t
Wasyted money for this item",0
positive,"I checked many redmi note 8 pro mobile and I found the same problem in all of them that they have very poor video calling quality even after having a good data network.
Sir please look after it and resolve the same as soon as possible.",2
negative,"#WhyWeAreALaughingstock. ""@GKMTNtwits: NEW STATEMENT on #GOPDEBATE: It's not a debate, it's an embarrassment:  @CorrectRecord #TruthMatter""",0
positive,"The proximity sensor misbehaves during a phone call
1. On a phone call and screen is locked - After every few seconds the screen blinks.
2. When a call is made - Sometimes screen automatically closes without bringing the phone near the ear and to light up the screen double tap feature don't work then.Screen can then only be lit up by pressing power button 3 times.",2
positive,Excellent performance. Camera had good clarity and even battery backup is very good. Overall performance is great. Good value for money.,2
positive,Under 40k best phone,2
positive,"Hi Friends,
My advice is go for M20, it's allrounder. I used M20 for 4Months before but now I use A30. Now I feel M20 is much better than A30, bcz M20 battery, 4G cellular signal strength, sound for incoming and outgoing calls, wide angle camera shots, video and audio quality for film watching, easy for Android Oreo with samsung experience 9.5 , and fast battery charging.
better to buy M20 Samsung 64GB model (black Color).",2
positive,Nice one,2
positive,Really it's Super Phone,2
neutral,Public services will also be available .,1
negative,Waste of money better than this 6t is good,0
negative,"Phone performance is too bad, finger print sensor takes much time to recognize,
After 3 months usage phone started to hang to prove it is a samsung product.
Samsung worst product..",0
negative,"Expected lot from mi.. But there is no basic apps from mi
No fast fingerprint recognise

No return or replace from amazon",0
positive,i want so bad to go to the mcfly`s concert,2
positive,Gud features.... Gud dispay.....,2
positive,Good product for the price.they should provide earphones and they should improve the battery.battery is 3800mah.,2
negative,"Got defected phone and they not take it seriously too much delay in replacment.
They don't understand client problem.
Very disopinting.
Phone not on
may be screen is defected.

Even they are not provide the replacement for this.
Very disopinting.",0
positive,"Guys another good product by XIOMI.........MI.
1.Battery Life - 9.8/10
2.Fingerprint Performance - 10/10
3.Screen Quality - 10/10
4.Performance - 10/10
5.Gaming - 10/10
6.Sound Quality - 10/10
7.Charging Technology - 10/10
8.Design - 10/10
9.Value For Money - 10/10
10. Overall Review - 10/10
Thank You And Go For It...........",2
positive, Aw how come ur up so early? love ur youtube vids btw,2
negative,Most worst product. They don't want to return the item.. Camera is most worse.. Suggest never to buy this..,0
neutral,"The phone is very much stylish, sleek and looks elegant. However, performance wise, it has some issues like it doesn't always support 2 VOLTE networks simultaneously. Moreover, the touch response is erratic at times. The erratic behaviour is more pronounced near the edges thus making it difficult to operate single handedly and quite often, a lag is experienced especially while typing. Camera is clear and sharp and does the job. Battery life is outstanding.",1
negative,"IT HEATS UP QUICKLY,  YOU CANT USE THIS MORE THEN 20 MINUTS,
AND PROCESS IS SLOW,
IT IS 50-50 PHONE",0
positive,Very nice,2
neutral,Heating  problem during Miracast but almost is gud,1
positive,Good,2
negative,Last quality phone,0
positive,Good product.,2
positive,I like everything...its just superb,2
negative,Battery too much heat,0
neutral,"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",1
neutral,"Camera quality poor, not as per given specification, 48 mp
Fingerprint sensor  not working good automatically open some times others figure.",1
positive,Best price and thnqs to Amazon,2
positive,Ek no.,2
neutral,Good to buy this phone at such a low price,1
positive,"I like the battery capacity,camera quality and mobile look.  But it does not provide ear phones. And there was rs.1000 cash back offer but I didn't get it.",2
positive,Nice,2
neutral,i just dyed my hair,1
neutral,I was so hype about it being Friday & it raining outside..No rain all day... But its rainin when its time to kick-it..Mr Sun is trippin.,1
positive,Very good 👍,2
positive,Excellent phone. The fingerprint and facial recognition features work extremely well.,2
neutral,"After using this phone for more than 2 months now, i can say that this phone is a OK kind of. Nothing to get excited other than the battery. I donno how i got attracted to this. For price tag of 17k.
Spec shows 6 gb, i never felt that even though i dont have any game installed. It lags, response is slow, surprisingly when screen rotation is on then it forgets to go back to vertical position, it lags, one need to wake it up. Camera is overspecified. Picture quality is pretty average, never looked like of 48 gb. Clarity seen on this phone for any particular picture is not even nearby on other devices.
Overall I'm not happy with this. Since return window is closed so continued using. And the seller of this phone also lags, he also forgot to dispatch. I was required to take customer sevice desk help to wakeup him. Not worthy.",1
positive,"Great. Now there`s a cloud that`s really, really dark grey right outside my office window. This sure has a lotta precip with it.",2
neutral,Battery and display was awesome.  Camera to be improved. Requires camera update as like Google camera.,1
positive,Nice phone from vivo,2
positive,Good,2
negative, Aww maybe i traumatized her.,0
positive,Battery life not expected and Camera Quality Okay. Alexa sometimes not responding.,2
neutral,Like,1
negative,"Voice call problem
This model",0
negative,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&d this sat ...is a sad panda,0
positive,Camera and battery really good awesome phone,2
positive,Nice product at 36000.,2
positive,"Best mobil and best ram&rom in this price .
And suprb back side desain",2
neutral, i was at the outlets too,1
negative,Nt battery backup,0
neutral,"No doubt on performances. But the so called ""monster battery"" of 600mAh is nowhere felt to be seen. On continuous usage with data on, the battery held fr only 24hrs ( which is too low for a new phone of 6k).
Camera is also poor fr  being labelled 48MP.",1
positive,"I bought this phone on a flash sale and to my wonder it is a better phone than I was expecting. It has a big display screen.
I am impressed by its long battery back up. It keeps me worryfree at work and travel. Also, this battery charges very fast.
The camera and photo quality of this fone is also very good.
Am quite happy with this purchase.",2
negative,The mobile is very very bad . Don't buy,0
negative,#GOPDebate @ScottWalker looks gormless. I don't know but he reminds me of the kind of guys I avoid trying to hit on me in bars! #GOPDebates,0
positive,"Display colour are not so good, rear camera is very low quality but front camera is quite good. according in this price range this m20 is not a best choice.",2
negative," Hello, yourself. Enjoy London. Watch out for the Hackneys. They`re mental.",0
negative,I must say  this a great phone but it's been only 10 months and the phone's  battery is popping out of the back causing phone screen damage. The phones battery is swelled and it hardly run's less than 2 hours. I ordered many phones from other website but didn't found any defect. It is the only phone mi4i I ordered from Amazon which is defective. Amazon has worst product quality. In the end please don't buy any phone from Amazon.  Peace.,0
neutral,RT @LouisOrtiz92: .@realDonaldTrump Makes His Mark During 1st #GOPDebate. His moments right here: http://t.co/gcXaL2E3iq via @NBCNews,1
negative,"Very Bad Experience with my first choice Samsung brand M30s.Disappointed with its battery that company claiming of 6000Mah.Heating only after 20 minutes normal usage is also an issue.i had ordered Opal Black 6GB Ram.after 3-4 days of usage,felt too much heating & battery draining severly .so i replaced the phone and got a new one in replacement.Sorry to say that the replaced phone was behaving just like the first phone.it is also heating with draining battery severly.due to over heating battrry drained upto 65% from 100% within 6 hours in office where i used it only one half hour with normal usage.i felt that this phone has some technical issues related to Network reception.in rural area these problems aggregated.I think Samsung should recall all M30s from the market.Despite of having too much attractive features this device is not impressive to me.in the areas/city with good network connectivity it works well.thanks to Amazon that managed replacement and after the replaced unit could not come upto expectation,paid full REFUND to me.",0
positive,"I wanted a budget friendly phone and I was lucky to have found one. Firstly, I was happy that it is a Samsung product which one can rely on. Secondly, it was falling under my budget of 14,990. I can say that I am very thankful for Samsung, for launching such a great phone. This phone has everything that one can ask for , be it good camera, battery, display, processor, be it anything, Samsung M30 fulfills your demand. Personally for me , I am highly impressed with its Battery power, it has 5000mah battery which is amazing. Now a days it is very difficult to get such a great battery life in a phone. It has 4gb RAM , which is one of best feature of this phone as myself being a game addict , i always wished for a phone in which i can enjoy playing games smoothly without lacking and Samsung M30 has made it possible. It has 3 cameras at the Back and one front camera as well which is pretty amazing. It's Infinity U display steals everything, it gives a premium feeling while using the phone. Samsung M30 is the best phone one can ask for. The design of the phone is amazing and I might not switch to some another phone for atleast sometime now.",2
positive,I like this product so much,2
neutral,I won the #GOPDebate because I got drunk and fell asleep before it started.,1
positive,It has insane battery. It's awesome. Overall a perfect one in this price.,2
negative,"RT @RadioVegan: He EARNED the title of ""Jeb""? Huh? #GOPDebate",0
positive,I like it,2
positive,Aaand the question about the racial divide goes to ... *drum roll* ... the only black man on stage. #GOPdebates #overit,2
positive,Its ok,2
positive,Front camera is not upto the mark as desired,2
positive,"Good phone, expect a few flew like camera cud have been better and fingerprint is placed little above as it tall phone.",2
neutral,Miracast not working with my smart TV,1
negative,IN just 2 days of purchase i was suppose to factory reset the phone becoz t was getting restarted automatically and whicle watching videos it was getting stuck..Just 2 days and issues started..MI is better option than Samsung i feel.,0
positive,Foodie from Cali here on business. Nicely done dishes with authentic flavor. Ling Shrimp to die for - at ridiculous bargain prices. 5 stars if they expand menu. Very nice family setting.,2
positive,It's quite good...processor was excellent when compare to other mobiles on this range...facelock is fast but fingerprint sensor need some updates...when gaming heating is there but not much...so overall superb smart phone on this range...and i like to use,2
positive,Im happy with the performance it's very smooth and reliable. Camera is also great 👌,2
neutral,The real question should be as president of the USA will you defund #PlannedParenthood #GOPDebate,1
neutral,Everything is good but its having the hanging problem.,1
positive,Good product,2
negative,Cheating by the name of cashback,0
positive,Amazing phone with all features,2
positive,Very havy weight vivo u10,2
negative,"Camera quality not up to the mark
Please change on urgent basis",0
positive,Nothing for dislike,2
negative,RT @AmberTozer: Just got caught up on the #GOPDebate and felt like I should write a joke about it but the biggest joke of all was the whole…,0
positive,Excellent,2
positive,Nice phone in this budget,2
positive,Better performance. Happy with purchase.,2
neutral," I`m jealous...i need 2 escape 2, lol.",1
positive,techgujarat YouTube,2
negative,Overall am not satisfied with this mobile..I had spear issue with first  mobile same had been raised and replaced  with new mobile but still am having  same speaker issue in the replaced mobile..I am not recommended to buy this product.,0
positive,Good,2
positive,Battery Colour Ram Profamence Awesome,2
neutral,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",1
negative,"Phone was really good in the beginning. Got an oxygen OS update to 10.0.3.HD65AA and after updating all the photos in my gallery are deleted. Camera isn't working properly. If i capture any new pic, it is not storing in the gallery. Social medias like insta and whatsapp will get hanged. Worst update ever. It's been just 6 days after buying this phone and i wan't expecting this after paying 40K. Wost update ever and veryyyyy disappointed.",0
positive,"Trust that's awesome for all.
Including gaming photography etc..🤙🤙😎😎",2
positive,happy star wars dayyyy =D and hbd to uncle LEE,2
negative,"#GOPDebate none of the presidential candidates brought a fucking gom jabbar, i mean at least liven up your crazy",0
negative,Two problem one finger print sensor not working properly and bettery draining very fast as compare to mi 4k battery,0
negative,"Screen gets cracked in one accidental
 drop",0
positive,Hi,2
positive,Dis-satisfied due to battery backup...☹️,2
neutral,"Aho is proud of the company 's new product , Lordi-Cola .",1
positive,"Have to agree with Timmy... located just off the 51, it does have a Roadhouse feel to it...  Haven't been there for dinner, but the combination Texas/Arizona (hence the name) cuisine is pretty good fare...",2
negative,Not,0
neutral, Sure thing!,1
neutral,These difficult situation force us to think about marrying a lovable girl,1
positive,"The first question which strikes a common man is what makes this 38k phone different from other phones ranging under 20k. So I've been a Xiaomi user from starting. Under exchange offer I've exchanged Redmi 6 pro with this 7T. This phone has the uttermost best camera you could ever think off. Even in night it takes the best classy pics for you. The performace of this phone is amazing and is upto the mark. Overall you can also use it for vloging as I will be and it shoots the best video for you. Overall it serves all your purpose of GoPro cum DSLR.
P.S: It serves the purpose. Individually GoPro and DSLR are better than 7T. But if you are looking for a complete pack in one go for 7T without any doubt.",2
positive,The only bad thing is the front camera it is not that clear but overall it is one of the best smartohones i have ever used in my life. Pubg gaming experience is seamless without any lags,2
negative,"Very poorly built. Battery Heating while in a Call. Speaker not upto the mark.
Overall not satisfied.",0
negative,Camra is low quality and tuch problam,0
negative,"RT @ShunStrickland: #GOPDebate completely out of touch with most of the America people. Nothing for women, the poor or people of color. Sha…",0
neutral,"we`re one, but we`re not the same, we get to carry each other",1
negative,"Waste phone, I have never hold phone with this speed, phone is more than normal slow, UI reflection changes are almost 3,4 seconds.  Pathetic really.

Never suggested to buy:(  wasted my money and it is really carring very heavy weight.

One more thing its non returnable, I wanted to return this phone after receiving because of its waste design and too much weight, but they denied.

Using this phone from past 15 days almost.",0
positive,"Nice product  at this  price,
Battery back up too  Good",2
positive,"I bought my M20 about 4 months ago, it has a good battery life, good camera, fast charging. Notch display makes cool this phone. I never face any hang problem, heating problem.  Overall this is the right choice if you are going to buy the phone in the range of 12k-15k.  There is a lot of Chinese brands in SmartPhone Industries, but if there is a choice of a big player Samsung then you should go for Samsung.",2
neutral, I`ve always said to PD that I wanted a kitchen like yours...I just wouldn`t know what to do with it,1
negative,"THIRD CLASS ...FAST CHARGING NOT WORKED, HANGING",0
positive,"Walked into this place on a Saturday night (i am from out of town) with my 4 girl friends...this place is HUGE!   Very packed and loud but in a fun way.  Love the decor and ambiance.
Huge bar in the middle with a nice wine list and a variety of drink options.
The wait was a little annoying, as we had reservations and still had to wait about 40 minutes.
The menu had some vegetarian options, not a whole lot, but what i ate was really good.  The vegetable Crostini appetizer was amazing and the Hummus was not that bad either.
I had the margarita pizza which was good, my friends had a pasta with chicken and they loved it as well.
The sangria we had was ok, I've had better in Chicago.  The crowd was upbeat and lively, seemed to have quite a few out of towners as well, and the age ranged anywhere from college to seniors...price wise it wasn't the cheapest place but it won't rip a hole in your pocket either.",2
neutral,Though it shows battery capacity 6000 mamps not last more than 1day. Also there is lag in phone for memory.,1
negative,I m not happy....very bad mobile.....worst camera,0
negative,"The WORST product. Made a mistake thinking that this is a smart phone its a dumb phone.
The phone hangs after 10 days of use. Just can't get it back to life.
Have to visit a service centre and waste the day.
ABSOLUTELY DISAPPOINTED

Do not by this product.",0
neutral,"Its getting switched off automatically.
In beginning it was showing charger not connected properly.
Camera quality is poor compared to other devices.",1
positive,"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",2
negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸,0
positive,Excellent mobile under 10k and I got Redmi note 8 on first sale.Thanks to Amazon for a fastser delivery😍😍,2
positive,Very good but only after the update came,2
positive,It's super battery nice display,2
neutral,"According to Mark White , Locatrix Communications ' CEO , the company 's web services interface allows device owners , friends , and family to track and locate TWIG users via any web browser .",1
positive,All time best phone . One n only one plus 🤘🏼✌️,2
positive,Affordable price... Best quality in least price,2
positive,Awasome,2
negative,like it or not but things like these are the ones which makes Chinese products disrespectful..!,0
negative,in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,0
neutral,Good picture quality but problem with battery when charging .......,1
neutral,Mobile  is good but heating  problems  all time.,1
neutral,ok,1
negative,Waste of money,0
positive,Worth for money. Camera quality is average,2
positive, Thank you sister!!,2
negative,Camera Quality is very poor,0
negative,Dont buy,0
positive,I like this mobile very much.,2
negative,"Phone has lagging with basic feature of call. I cannot hear voice ( very low desible sound) of person on call, even in speaker mode it will not help you. And this has happen after one month only. Phone is hanging too much, not good quality with respect to speed, multiple app working. Only best thing is camera. I hope Samsung has to work on basic feature first, then work on secondary applications / feature. Even after talking to customer care,  they are unable to solve it. Seems like they are not in focus for customer. Anyway I have to thing for some other brand.",0
negative,Republicans &amp; Facts go together like opposing poles on a magnet. #GOPDebate #GOPTBT #GOPClownCar #NoMoreBushes #DumpTrump #GOPshutdown,0
neutral,Thank you OpenDNS for saving me from Comcast`s crappy DNS server. My internet is back up to par finally.,1
positive,"Teakwoods is the place to go if you are a ""wings"" fan!  They grill wings for crisp perfection and the flavor is so good that I don't even need ranch to dip the wing in.  I know - How can you not need ranch?  I didn't believe it until I tried it.  

Everytime I go to a restaurant that offers wings, I will be comparing it to Teakwoods.",2
negative,"It is definitely under 10 K phone. The long list of issues make it so. Here are few :
1.. It doesn't support OK Google voice command. You can use Google assistant by long pressing centre button but not by voice command.
2. Inconsistent WiFi connection. It get disconnected automatically after sometime.
3. Battery drainage. It has same battery as Redmi note 6 pro. But battery lasts much lesser than that.
4. Fingerprint sensor is slow.

So if u think all these issues are not worth then go for this under 10k phone.",0
positive,👌,2
negative,Touch is worst. Don't take this phone. Very slow in sensing touch. Many yimes ignores touch. Only camera is okay. And that too is not very good. Battery life is good only.,0
positive,Overall its a good phone with ample features at best price. The battery remains a bit of a concern still it is decent,2
positive,A good product by Samsung in this budget range. Camera and Battery performance is awesome.,2
positive,"We went early, so we didn't have any of the seating issues others have mentioned.  The decor and set-up was neat, and the bartender was friendly and attentive.  I agree that the drinks are pretty expensive -- but the White Rabbit was amazing.  I'm not  a big fan of mixed drinks generally, but horchata and white chocolate liqueur?  Awesome!  I'll definitely be back.  Great place!",2
positive,Charging speed could have been better specially from 85-100% Otherwise its a great phone with overall very good performance...,2
negative,This phone is waste but it is good in battery life,0
neutral,"_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there",1
positive,Thanks to my assignment im off to work today!,2
negative,Don't buy this lafoot mobile,0
positive,"Last night we met friends at Hillstone's and we truly enjoyed a great meal and great atmosphere.  
We were met by a very friendly and helpful server who took great care of us the entire evening.  We started out with a wonderful wine recommended by our server, she let us taste 3 kinds before we chose what suited us.  We went on to enjoy the savory spinach and artichoke dip as well as fresh baked bread served with some olives and olive oil.  The caeser salad was a very large portion almost could have been my entree and the dressing was so fresh and light.  The croutons crisp and fresh baked.  We all ordered the hawaiian ribeye, OMG!! So moist and so juicy - the flavor was so fabulous and I could only eat half of it.  The loaded baked potato was also wonderful and very large.  I ended up taking half my meal home and was really happy that they let us sit quite awhile to chat with our friends after our meal was over (we were way too full for dessert however the server brought us a complimentary slice of key lime pie which my husband and friends said were fabulous I just was too full to try it) we never were rushed out and they kept refilling our drinks I can't wait to go back.  Was always a fan of Houston's in NYC and this was very much the same and enjoyed the jazzy low music in the background and the dim lighting that was warm and relaxing.",2
positive,"What a beautiful hotel! The Clarendon is truly one of a kind. The staff goes above and beyond to make sure you have everything you need...and extras :) The pool area is gorgeous and the atmosphere is delightful. I had the opportunity to meet the owner, Ben Bethel. What an astonishing young man he is! I don't know which is more impressive, his efforts to make the hotel as ""green"" as possible or the fact that he helps guests with their bags as they walk through the door. I can't wait for another excuse to stay at the Clarendon again!",2
positive,This is good product,2
positive,Excellent features. Must buy this product.,2
negative,"Sim slot 1sim+1card
2sim+1 card not possible at same time. ...",0
neutral,The performance and camera quality wise this is king but battery performance is not thar great and the finger print scanner is the worst.,1
neutral,#GOPDebate Field seems terrified of mentioning Obama in a negative light.,1
positive,Nice,2
positive,"For the price range, the device is really a decent one. Good battery life and decent camera. The camera give good colors to the photo.",2
positive,"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",2
positive,"It is a another miracle of the Samsung that too M series.. camera quality is better than all other budget mobile series...  battery life excellent as it can be .. bought it for my mom and she is just charging like 3-4 days once..
finger print reader fasterrrrr...
Would suggest for all people and age..
thank you Samsung for a such a beautiful phone for only INDIA.. that too made in INDIA.",2
negative,I'm sorry but Trump was a total joke tonight. He took away valuable time from the other candidates. #GOPDebates,0
neutral,Camera doesn't seems like 48 megapixel even 12 megapixel can take better photos,1
positive,Sim remover not received.,2
negative,This phone has nice features but it lags a lot. Really bad.,0
negative, Pitched on Dec 6th. Display not working proper. How to claim my warranty.,0
positive,"Front Camera is awesome, Rear is Average, Battery life is also good overall performance is good, I recommend to buy, good launch from Samsung, amazon Delivery is very fast happy with the delivery  .",2
positive,மிக சிறந்த பலன்,2
positive,Good product for the price,2
positive,Gooood,2
positive,nice mobail,2
positive,"Value for money , finger print reader is awesome, camera is less than aspected . Battery is good",2
positive,Fingerprint nahi hota hai but phone achcha hai,2
negative,"Got the defect piece, Software issues and compatibility issues. Poor video viewing quality.",0
positive,"Reviewing after only one day of use
It feels fastest Android phone ever
Good camera quality
Overall good battery which is only negative point about 7T but warp charge is so quick u cant imagine
90Hz display is buttrey smooth
Good heptic vibration
Oxygen OS is always Love
SD 855+ is unbeatable
In this price segment 7T is a BEAST",2
negative,"Screen become blank . phone does not  respond quickly.
Hangs alot.",0
positive, it was jokes!!!  me love the mag..really!,2
positive,The product as such is good elegant and satisfactory but sometimes tries to to be buggy ...regarding camera it should have been much better esp at night. Battery lasts 5 hrs in heavy gaming condition but it lasts for a day in normal use.,2
positive,The mobile is nice working is good but the problem is battery life the battery drainage is fast but you will not feel it much because of the fast charger which is given in the box.,2
positive,Camera quality is average,2
positive,Good,2
negative,It's taking too much time to charge full battery nearly two and half hours And too much of heat is generating while charging and using internet.I don't recommended this phone,0
positive,It's a great phone  with longer battery a good quality of camera and many other features,2
neutral,"Not able to add to the contact list after new caller has called
While watching some already recorded programs suddenly it is numbing to the end",1
negative,Phone Lags vwry much ..done all updates to software but still,0
positive,At this price range it's one of the best option.,2
negative,First thing is Amazon not returning there items second my phone is not charging with the charger I alrdy complain but no one came to check worst thing happen to me,0
negative,I ruined my lunch by eating half a bag of cheddar popcorn....now I feel sick.,0
positive,Best,2
neutral,"The network coverage  quality is very poor
Jio sim network doesn't work properly in Samsung Galaxy m20
But Camera quality is awesome  phone look so sexy in blue color  battery backup was 100%better from all other  mobile
I'm just disappointed wit network  coverage
I use my jio sim in Nokia edition 1 the mobile  cost is only 4500 dat was working  excellent all time full network  but Samsung  Galaxy m20  Network  coverage  is very poor  ....
If U  ignore  this then everything is better then mi mobile  ...",1
neutral,Touch not working sometimes,1
neutral,Good mobile,1
positive,"I absoloutely love this place.  Great Coffee, Americanos, and Lattes.  Try the Chemex if you are looking for something unique.  Very Tasty Breakfast Burritos and friendly staff.  I wish the North Location was still open, but I'll take their brews anywhere I can get them.  Skip Starbucks and hit up a real coffee shop...",2
positive,"I liked this place...it's a little dark.  I went in the middle of the day so there was probably more workers there than movie goers.  And the staff looked pretty bored actually.

3 bucks ain't bad for a movie.  I thought the place was clean and a decent selection of movies and refreshments.  I come from a small town so even this theatre is an upgrade for me.

For three dollars I will most definately be hitting this place more often.",2
positive,"We good phone no wastes of money
Best phone fro mi note 8
Buy it don't buy note 8",2
neutral,It`s the start of a new week with tons of new photos to take and edit  Yay!!,1
negative,"Samsung M30 is too bad in detecting network
and while using Samsung M30 Data speed also drastically reduced compared to my previous device",0
negative,Not up to the expectation I had with the Samsung,0
positive,Morning Ali a big thank you for yesterday love you always xxxx. You out on the bike today? Don`t forget to get a helmet ok,2
positive,White color looks cool. MI products are stable and worth buying.,2
positive,Phone is so much slow. Company should use ufs memory on emmc. And so much lag in this device,2
negative,Camera is faulty not opening,0
